"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.001251625E0,3.490740967E0,-4.825215912E0,-3.740721130E-1
2.011294625E0,2.863694916E0,-3.612587585E0,2.963836670E-1
2.021337625E0,2.638263702E0,-4.247866516E0,2.047891388E0
2.031381625E0,2.533930664E0,-5.100343781E0,3.693269806E0
2.041424625E0,1.607207794E0,-5.791007538E0,4.589905243E0
2.051467625E0,8.039781189E-1,-6.756200409E0,5.643264771E0
2.061510625E0,6.273454285E-1,-9.938582611E0,6.352938995E0
2.071553625E0,1.254541168E0,-1.905073380E1,7.554490356E0
2.081597625E0,9.131011963E-1,-2.857063705E1,7.168443146E0
2.091640625E0,-2.308200073E-1,-3.262914734E1,5.350323944E0
2.101683625E0,-1.422042847E0,-3.178580109E1,2.544259186E0
2.111726625E0,-2.461481323E0,-2.593087646E1,-8.915460205E-1
2.121770625E0,-2.808759155E0,-1.791294983E1,-2.941383362E0
2.131813625E0,-2.757715302E0,-1.157947037E1,-3.746259613E0
2.141856625E0,-2.597248993E0,-7.134463806E0,-4.424798584E0
2.151899625E0,-2.743195496E0,-4.247866516E0,-5.770949249E0
2.161943625E0,-3.498075714E0,-4.651726685E0,-4.407883759E0
2.171986625E0,-2.367626495E0,-6.758445740E0,-2.767744446E0
2.182029625E0,-7.339237976E-1,-9.400301971E0,-2.059716797E0
2.192072625E0,4.321513367E-1,-1.077040283E1,-1.249152374E0
2.202114625E0,2.891986084E0,-5.188809814E0,-6.426136780E-1
2.212158625E0,3.070415039E0,-8.207881622E0,-2.881507874E-1
2.222201625E0,9.520202637E-1,-1.828298035E1,-1.086141357E0
2.232244625E0,1.583107910E0,-1.746283585E1,-2.452649689E0
2.242287625E0,2.829865265E0,-1.324086548E1,-4.042792969E0
2.252331625E0,3.659440155E0,-1.036594391E1,-5.807173920E0
2.262374625E0,4.124373322E0,-9.393116913E0,-6.525829468E0
2.272417625E0,4.283791809E0,-9.890981598E0,-6.213728485E0
2.282460625E0,4.105811920E0,-1.127784760E1,-6.330036621E0
2.292504625E0,4.060007172E0,-1.269031036E1,-5.076094208E0
2.302547625E0,3.349135437E0,-1.351120331E1,5.653742981E-1
2.312590625E0,1.891766052E0,-1.326242065E1,6.036047974E0
2.322633625E0,4.246669006E-1,-1.213271988E1,8.474776611E0
2.332676625E0,-9.683363342E-1,-1.013437546E1,8.818461914E0
2.342720625E0,-1.700014801E0,-8.738228760E0,6.502777405E0
2.352763625E0,-1.459015961E0,-8.525670776E0,2.595303040E0
2.362806625E0,-5.864804077E-1,-9.103319550E0,-9.916877747E-1
2.372849625E0,3.507206726E-1,-9.718689880E0,-3.403322754E0
2.382893625E0,7.735913086E-1,-9.940229187E0,-5.203628998E0
2.392936625E0,5.748046875E-1,-9.357490997E0,-5.928272095E0
2.402979625E0,3.068618774E-2,-7.914042664E0,-5.882467346E0
2.413022625E0,-2.939886475E-1,-6.222859497E0,-4.922663269E0
2.423065625E0,-3.902384949E-1,-4.933141479E0,-3.435655518E0
2.433109625E0,-4.156855774E-1,-4.164789276E0,-1.678609314E0
2.443152625E0,-6.803352356E-1,-3.729195099E0,-7.566764832E-1
2.453195625E0,-1.035696259E0,-3.867357788E0,-7.482939148E-1
2.463238625E0,-1.431323547E0,-4.676425323E0,-1.806742859E0
2.473282625E0,-1.609602814E0,-5.762566681E0,-3.310665436E0
2.483325625E0,-1.635798340E0,-6.751709747E0,-4.439318390E0
2.493368625E0,-1.845512238E0,-7.462731171E0,-5.152136078E0
2.503411625E0,-2.173480225E0,-8.104895782E0,-5.172194366E0
2.513455625E0,-2.584974518E0,-8.797206116E0,-4.946912842E0
2.523498625E0,-2.810705109E0,-9.348509674E0,-4.951852570E0
2.533541625E0,-2.655627594E0,-9.410031738E0,-5.256918182E0
2.543584625E0,-2.160008240E0,-9.255552979E0,-5.389991455E0
2.553627625E0,-1.433568878E0,-9.066346436E0,-5.528004456E0
2.563671625E0,-7.167095947E-1,-8.931776276E0,-5.593119049E0
2.573714625E0,-1.974394226E-1,-8.635841675E0,-5.127587128E0
2.583757625E0,1.119671631E-1,-8.103698273E0,-4.615801392E0
2.593800625E0,4.432283020E-1,-7.736661530E0,-4.537813568E0
