"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.575416631E-3,-3.251538391E0,5.116809540E0,8.049660645E0
1.361641666E-2,-3.169209595E0,5.211113434E0,7.794740753E0
2.365641663E-2,-3.066523132E0,5.079686737E0,7.653284912E0
3.369741666E-2,-3.023263092E0,4.940176849E0,7.674241333E0
4.373741662E-2,-2.984044647E0,4.832550659E0,7.824079742E0
5.377841665E-2,-2.964734802E0,4.785997467E0,8.004005585E0
6.381841662E-2,-2.941982117E0,4.782704315E0,8.152496796E0
7.385941665E-2,-2.885250092E0,4.797673187E0,8.309071198E0
8.389941661E-2,-2.823877716E0,4.792583771E0,8.454868011E0
9.394041664E-2,-2.834056549E0,4.786895599E0,8.538244629E0
1.039804167E-1,-2.798580322E0,4.715194702E0,8.575068054E0
1.140214166E-1,-2.638563080E0,4.748126221E0,8.535999298E0
1.240614167E-1,-2.467169495E0,4.780758362E0,8.384364624E0
1.341024166E-1,-2.394121399E0,4.764891357E0,8.353528748E0
1.441424167E-1,-2.343376923E0,4.868775330E0,8.340505829E0
1.541834166E-1,-2.280208282E0,4.969216461E0,8.381221161E0
1.642234167E-1,-2.289339294E0,4.957091675E0,8.485703888E0
1.742644166E-1,-2.312391357E0,4.918471985E0,8.553213501E0
1.843044166E-1,-2.345921631E0,4.916226654E0,8.576265564E0
1.943454166E-1,-2.386636963E0,4.875810699E0,8.605005798E0
2.043854166E-1,-2.462828522E0,4.802912292E0,8.646469574E0
2.144264166E-1,-2.580483856E0,4.727020111E0,8.704099731E0
2.244674166E-1,-2.694097595E0,4.654121704E0,8.663085022E0
2.345074167E-1,-2.748284912E0,4.586911469E0,8.631051636E0
2.445484166E-1,-2.780467987E0,4.521946564E0,8.579708405E0
2.545884167E-1,-2.807411957E0,4.429588623E0,8.486751709E0
2.646294166E-1,-2.935695190E0,4.372856598E0,8.455915833E0
2.746694167E-1,-3.001408539E0,4.318669281E0,8.450077972E0
2.847104166E-1,-2.643652496E0,4.396507416E0,8.865464172E0
2.947504167E-1,-2.506537628E0,4.042194214E0,9.740394745E0
3.047914166E-1,-3.810176697E0,3.759432220E0,9.689650269E0
3.148314166E-1,-3.665427704E0,4.753065948E0,8.797655182E0
3.248724166E-1,-2.886597290E0,4.746030579E0,8.783285065E0
3.349124166E-1,-2.549498291E0,3.506458282E0,1.004860382E1
3.449534166E-1,-2.213896179E0,3.641926575E0,1.050156189E1
3.549934166E-1,-2.047442322E0,3.997586975E0,1.077728851E1
