"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.975666673E-3,-1.758842468E-1,2.215393066E-2,9.236243134E0
1.201766665E-2,-1.070274353E-1,2.056723022E-1,8.955127716E0
2.206066664E-2,-9.445358276E-2,6.750961304E-2,9.068142700E0
3.210266668E-2,-2.622546387E-1,-1.225950623E-1,9.421557770E0
4.214466666E-2,-2.769241333E-1,-2.639012146E-1,9.635013885E0
5.218766665E-2,-2.037263489E-1,-4.734654236E-1,9.777218170E0
6.222966668E-2,-2.225871277E-1,-6.065386963E-1,9.958341522E0
7.227266667E-2,-2.604583740E-1,-3.869453430E-1,1.006117767E1
8.231466665E-2,-2.633024597E-1,-9.744735718E-2,1.012284943E1
9.235766664E-2,-3.257226562E-1,-9.340576172E-2,1.017928207E1
1.023996667E-1,-3.835025024E-1,-2.716850281E-1,1.037746994E1
1.124426667E-1,-3.414399719E-1,-4.634362793E-1,1.039677979E1
1.224846666E-1,-4.224215698E-1,-5.090913391E-1,1.039139099E1
1.325276667E-1,-5.480104065E-1,-4.426295471E-1,1.026250900E1
1.425696667E-1,-6.771917725E-1,-3.552113342E-1,1.008003845E1
1.526121250E-1,-7.861651611E-1,-2.652484131E-1,9.854906616E0
1.626551250E-1,-7.668553162E-1,-2.980302429E-1,9.730066223E0
1.726971250E-1,-7.008425903E-1,-4.432283020E-1,9.804760895E0
1.827401250E-1,-6.956034851E-1,-5.924679565E-1,9.862241364E0
1.927821250E-1,-6.908134460E-1,-6.426136780E-1,9.846374359E0
2.028251250E-1,-7.053332520E-1,-5.589376831E-1,9.908644867E0
2.128671250E-1,-7.596702576E-1,-4.303550720E-1,9.925709381E0
2.229101250E-1,-9.110055542E-1,-3.122506714E-1,9.867630157E0
2.329521250E-1,-1.116827545E0,-1.158590698E-1,9.774224396E0
2.429941250E-1,-1.306483154E0,1.950444031E-1,9.682914276E0
2.530371250E-1,-1.389111328E0,5.013075256E-1,9.677974548E0
2.630791250E-1,-1.319655762E0,6.960525513E-1,9.763446808E0
2.731221250E-1,-1.168769531E0,6.876699829E-1,9.898016968E0
2.831641250E-1,-1.015338593E0,4.129911804E-1,1.003588028E1
2.932071250E-1,-9.660910034E-1,2.023791504E-1,1.012359787E1
3.032491250E-1,-9.370513916E-1,1.471440125E-1,9.989925842E0
3.132921250E-1,-8.894503784E-1,1.278341675E-1,9.714797974E0
3.233341250E-1,-8.657995605E-1,1.457968140E-1,9.545350342E0
3.333761250E-1,-7.716453552E-1,1.437011719E-1,9.408834229E0
3.434191250E-1,-6.402186584E-1,1.953437805E-1,9.210796051E0
3.534611250E-1,-5.227130127E-1,1.640588379E-1,8.958720245E0
3.635041250E-1,-4.608915710E-1,-7.888595581E-2,9.136700134E0
3.735461250E-1,-4.834945679E-1,-6.533912659E-1,9.354048157E0
3.835891250E-1,-4.824467468E-1,-1.380878448E0,9.268126831E0
3.936311250E-1,-3.966751099E-1,-2.017953644E0,8.847800903E0
4.036741250E-1,-2.588117981E-1,-2.551144867E0,8.307723999E0
4.137161250E-1,-3.251239014E-1,-3.011287994E0,8.100105743E0
4.237591250E-1,-5.908213806E-1,-3.289559326E0,8.516090698E0
4.338011250E-1,-7.635621643E-1,-3.383264465E0,8.794362030E0
4.438431250E-1,-7.987390137E-1,-3.300785980E0,8.472082214E0
4.538861250E-1,-6.466552734E-1,-3.462898865E0,7.812404022E0
4.639281250E-1,-6.481521606E-1,-3.973786469E0,7.511829071E0
4.739711250E-1,-7.668553162E-1,-4.430337067E0,7.526797943E0
4.840131250E-1,-7.005432129E-1,-4.810546417E0,7.455246735E0
4.940561250E-1,-6.008505249E-1,-5.039270782E0,7.002138977E0
5.040981250E-1,-7.593708801E-1,-4.809498596E0,6.786138153E0
5.141411250E-1,-8.717871094E-1,-5.012775879E0,6.929090881E0
5.241831250E-1,-8.445437622E-1,-5.382656708E0,6.878346405E0
5.342251250E-1,-9.307644653E-1,-5.633834381E0,6.939718781E0
5.442681250E-1,-1.135987701E0,-5.739813995E0,7.377857666E0
5.543101250E-1,-9.647438049E-1,-5.322481842E0,8.163573761E0
5.643531250E-1,-4.887336731E-1,-4.781656494E0,8.037086792E0
5.743951250E-1,-1.887574768E-1,-4.947062531E0,7.053781586E0
5.844381250E-1,-4.200265503E-1,-5.796845398E0,5.963149567E0
5.944801250E-1,-8.292755127E-1,-6.623725891E0,5.232668610E0
6.045231250E-1,-9.223818970E-1,-7.328610077E0,4.298311615E0
6.145651250E-1,-1.109642487E0,-7.988437958E0,3.229833527E0
6.246071250E-1,-1.669927368E0,-7.813601532E0,2.582429810E0
6.346501250E-1,-2.420915680E0,-8.449778595E0,2.919079742E0
6.446921250E-1,-3.610192566E0,-1.001043320E1,3.743565216E0
6.547351250E-1,-4.642895050E0,-1.042342438E1,5.007536774E0
6.647771250E-1,-4.738845520E0,-9.409882050E0,5.204826508E0
6.748201250E-1,-4.299808502E0,-7.849975891E0,4.588108978E0
6.848621250E-1,-3.849694519E0,-6.959926758E0,4.662504272E0
6.949051250E-1,-3.791315918E0,-7.072342987E0,4.249962158E0
7.049471250E-1,-3.842359772E0,-8.076754303E0,4.270469513E0
7.149901250E-1,-3.824247437E0,-8.540040894E0,4.585713959E0
7.250321250E-1,-3.520079956E0,-9.163943481E0,4.568499756E0
7.350741250E-1,-3.136128387E0,-9.108109589E0,3.593577118E0
7.451171250E-1,-2.905757446E0,-9.172326050E0,3.226091309E0
7.551591250E-1,-3.071911926E0,-9.858798523E0,2.657723236E0
7.652021250E-1,-3.101101227E0,-1.056712555E1,1.616787872E0
7.752441250E-1,-2.681823120E0,-1.062954575E1,2.685265961E0
7.852871250E-1,-1.730850677E0,-8.830586700E0,4.735252991E0
7.953291250E-1,2.339634705E-1,-6.733747101E0,6.608307953E0
8.053721250E-1,1.625469818E0,-5.891298981E0,7.015760651E0
8.154141250E-1,1.882934418E0,-7.934550018E0,5.104385376E0
8.254561250E-1,2.228565674E0,-9.479636993E0,3.090024261E0
8.354991250E-1,2.539618835E0,-9.902058563E0,2.869233398E0
8.455411250E-1,2.396067352E0,-1.009650421E1,2.565365295E0
8.555841250E-1,1.848356323E0,-1.052446426E1,2.039658508E0
8.656261250E-1,1.227746887E0,-1.158126663E1,1.021326141E0
8.756691250E-1,-1.368154907E-1,-1.240724899E1,-7.108717346E-1
8.857111250E-1,-2.307301941E0,-1.302935532E1,-1.757794647E0
8.957541250E-1,-4.929698639E0,-1.310943878E1,-2.656675415E0
9.057961250E-1,-8.080496521E0,-1.204694824E1,-3.028651886E0
9.158381250E-1,-8.880882111E0,-9.404792633E0,-2.850821686E0
9.258811250E-1,-8.936117249E0,-8.004304962E0,-2.341580658E0
9.359231250E-1,-8.606053619E0,-8.170758820E0,-2.559228058E0
9.459661250E-1,-8.404871979E0,-9.106313324E0,-4.460873566E0
9.560081250E-1,-6.334976349E0,-7.699838104E0,-2.657274170E0
9.660511250E-1,-3.528761902E0,-6.806346130E0,-3.191363525E-1
9.760931250E-1,-1.141226807E0,-7.799979858E0,1.070424042E0
9.861361250E-1,8.692424011E-1,-9.190288696E0,9.428892517E-1
9.961781250E-1,1.049467621E0,-1.026161087E1,3.484753418E-1
1.006221125E0,1.077609100E0,-1.020442978E1,1.036295013E0
1.016263125E0,1.099164276E0,-1.147229324E1,-1.182540894E-2
1.026305125E0,4.111949158E-1,-1.123114471E1,-6.774911499E-1
1.036348125E0,1.456471252E-1,-1.251741989E1,-1.330882416E0
1.046390125E0,-1.120420074E0,-1.169398224E1,-1.884880371E0
1.056433125E0,-2.168091431E0,-1.012464569E1,-1.160237274E0
1.066475125E0,-2.479294281E0,-8.818910980E0,-4.906796265E-1
1.076518125E0,-2.280208282E0,-7.395071869E0,1.115031281E0
1.086560125E0,-2.427801361E0,-6.767726440E0,2.560126190E0
1.096603125E0,-2.343077545E0,-6.303092651E0,3.047812042E0
1.106645125E0,-1.231489105E0,-7.152725830E0,2.786754913E0
1.116687125E0,-1.720671844E0,-8.543334045E0,4.863386536E-1
1.126730125E0,-5.153782654E-1,-8.833131409E0,-1.058299255E0
1.136772125E0,-4.528083801E-1,-6.587351532E0,-2.805166626E-1
1.146815000E0,-1.222208405E0,-6.431375885E0,3.379971313E-1
1.156857000E0,-4.929249573E-1,-5.781128082E0,6.962022400E-1
1.166900000E0,-1.029858398E-1,-6.019432526E0,-3.293451233E0
1.176942000E0,4.345463562E-1,-6.012995911E0,-4.690346375E0
1.186985000E0,1.524579620E0,-4.782854004E0,-6.083199921E0
1.197027000E0,1.982627106E0,-3.974085846E0,-5.557493134E0
1.207070000E0,2.271975403E0,-4.119732971E0,-3.116818542E0
1.217112000E0,2.989882507E0,-7.077432404E0,-1.649420013E0
1.227154000E0,5.170398102E0,-2.157822784E1,-8.881331177E0
1.237197000E0,2.704426117E0,-2.076691498E1,-2.672392731E0
1.247239000E0,1.628164215E0,-1.926942902E1,5.981411591E0
1.257282000E0,1.850901031E0,-2.037009018E1,8.265062714E0
1.267324000E0,2.425556030E0,-2.180844910E1,6.671925659E0
1.277367000E0,2.414179688E0,-2.273053162E1,3.433559875E0
1.287409000E0,1.005908203E0,-1.853790024E1,2.070494385E0
1.297452000E0,1.236279144E0,-1.375624374E1,3.451073456E0
1.307494000E0,1.592837677E0,-1.118818405E1,5.170697479E0
1.317536000E0,1.297501831E0,-8.546627197E0,4.006268921E0
1.327579000E0,1.075363770E0,-6.836882629E0,1.503772888E0
1.337621000E0,7.171586609E-1,-6.549779663E0,7.623646545E-1
1.347664000E0,2.139051819E-1,-7.455995178E0,1.015488281E0
1.357706000E0,-2.915936279E-1,-8.440348206E0,2.038760376E-1
1.367749000E0,-7.705975342E-1,-9.311087494E0,-5.510041809E-1
1.377791000E0,-1.284778290E0,-1.031998947E1,-1.684896240E0
1.387834000E0,-1.764680328E0,-1.125015518E1,-2.652633820E0
1.397876000E0,-1.781744843E0,-1.128188919E1,-2.751428375E0
1.407919000E0,-1.575922852E0,-1.049108368E1,-3.787873077E0
1.417961000E0,-1.221459961E0,-9.573491821E0,-3.343297577E0
1.428003000E0,-1.179996185E0,-9.382339325E0,-2.217339020E0
1.438046000E0,-1.325792999E0,-9.865684204E0,-1.620081024E0
